_id,_name,_description,_salary
18858292,web-программист,"обязанности:  разработка нового многофункционального интернет-магазина на bitrix доработка компонентов и разработка нового функционала сайтов компании (написание компонентов bitrix и разработка новых модулей, - 3 интернет-магазина на 1с-битрикс, 1 корпоративный сайт на joomla) поддержка стабильной работы сайтов размещение написанных новостей, статей соблюдение дед-лайнов    требования:  знание cms: 1c-bitrix, joomla, wordpress опыт разработки web-приложений отличное знание html5 и css3, кроссбраузерная верстка опыт работы с 1c-bitrix опыт написания собственных компонентов на bitrix опыт интеграции с 1с знание объектно-ориентированного программирования, и умение применять их на практике отличное знание mysql и mssql (составление запросов любого уровня сложности, оптимизация запросов) знание javascript (библиотека jquery) знание linux (ubuntu, centos) опыт работы с apache, nginx, memcached (установка, настройка, оптимизация) желательно знание seo (опыт успешной оптимизации сайтов под поисковые системы), знание asp, базовые знания photoshop/ высшее образование аналитический склад ума исполнительность, ответственность, стрессоустойчивость готовность к интенсивному режиму работы    условия:  работа в компании - лидере рынка оформление по тк рф график работы 5/2 оплата труда: оклад+ ежемесячные бонусы (по результатам работы) компенсация занятий спортом офис: 10 мин. пешком от м. южная ",140000
18662910,старший java-разработчик,"обязанности:  разработка бэк-енда и api для приложения по бронированию долгосрочного проживания больших групп людей проектирование архитектуры решения для сложной обработки данных с различных api    требования:  уверенное владение java знание алгоритмов и структур данных опыт разработки на node.js будет плюсом знание баз данных (postgres, mongo) опыт работы с облачным хостингом разговорный английский достаточный для базового общения    условия:  молодой и дружный коллектив интересные проекты и постоянная практика английского оформление по тк рф печеньки и футбол офис: м.курская (5 мин. пешком) ",160000
18609272,менеджер продукта,"мы создаем инновационные решения в области обработки изображений и на их базе выпускаем собственные продукты. нашими приложениями пользуются миллионы людей по всему миру. нашему новому b2b — сервису требуется product -менеджер. перед ним будет стоять задача развития и продвижения сервиса, который предоставляет партнерам готовые решения для брендирования фотографий их клиентов.   чем предстоит заниматься:   руководство командой нового b2b-сервиса (web-сервис и мобильное приложение);   анализ потребностей пользователей, выработка стратегии продвижения продукта;   внедрение необходимого функционала для привлечения пользователей, оценка его успешности;   участие в проектировании интерфейсов;   расстановка приоритетов, формализация и постановка задач, контроль соблюдения сроков и качества реализации.     наши ожидания:   опыт управления командой в технологичный b2b-проектах от 2-х лет;   успешный опыт вывода продукта на рынок и управления им;   сильный технический бекграунд;   ориентированность на результат;   отличные аналитические и организаторские способности.     мы предлагаем:   возможность реализовать свой потенциал в команде единомышленников;   гибкий график работы, идеальный для жаворонков, сов и не определившихся;   высокий уровень заработной платы;   официальное оформление и доход;   офис в 2-х минутах пешком от м. октябрьская (кольцевая);   корпоративные мероприятия, развлечения и другие плюшки.  ",120000
18609264,руководитель направления мобильной разработки,"мы создаем инновационные решения в области обработки изображений и на их базе выпускаем собственные продукты. нашими приложениями пользуются миллионы людей. они занимают лидирующие позиции в маркетах приложений, достигали #1 overall apple appstore в сша и европе. сейчас мы ищем руководителя направления мобильной разработки для ios и android платформ. чем предстоит заниматься:  управление командой ios и android разработчиков: организация процесса разработки и тестирования, постановка задач и сроков их выполнения, управление качеством продуктов; взаимодействие с командой с++ разработки: портирование с++ кода под мобильный платформы, участие в обсуждениях, описание требований к c++ коду для его эффективной работы на мобильных платформах.  наши требования:  высшее техническое образование; экспертные знания в области ios и android разработки; опыт руководства командой разработчиков, построения бизнес-процессов; знание с++ на уровне понимания нюансов компиляции, выполнения, быстродействия на разных платформах; владение математическим аппаратом (способность разобраться в математике алгоритма/решения); опыт разработки высокотехнологичных продуктов; знания в области обработки изображений.  большим плюсом будут:  навыки обработки потокового видео, распознавания образов, использования цветовых пространствах; опыт разработки игр; знание gpu, opengl, rt обработки изображений, 3d; опыт в обработке звука, распознавании речи.  мы предлагаем:  интересную работу в дружном коллективе; высокий уровень заработной платы; гибкий график работы; официальное оформление и доход; офис в 2-х минутах пешком от м. октябрьская (кольцевая). ",220000
18773507,программист с# (gui),"компания itv|axxonsoft - лидер в разработке по для систем безопасности и видеонаблюдения, резидент инновационного центра сколково.   задачи:  участие в разработке gui в рамках флагманского продукта компании axxonnext.    требования:  знание платформы .net v4.0 (winforms, linq) языка программирования c# среды разработки visual studio (vs 2013)    плюсом будут:  понимание принципов разработки многопоточных и асинхронных приложений опыт работы с системами контроля версий (mercurial, bitbucket, svn)    условия:  гибкий график работа в команде с опытными коллегами     ",85000
18773499,data scientist / researcher,"биотехнологическая инновационная компания ищет data scientist / researcher   обязанности:  работа в группе mhealth, locomotion research, т.е исследования старения и здоровья на данных получаемых с носимых устройств (fitbit, jawbone, iphone, apple watch etc,) и другой телеметрии (не только человека, но и модельных животных). есть задачи под конкретные продукты как b2b так и b2c, а не только поисковые исследования  требования:  нужен сильный математик/программист/физик. очень хорошо если аспирант близкий к защите или кандидат. опыт работы около 3х лет. программирование:  уверенное знание python 2.7 и стандартных библиотек уверенное знание библиотек numpy/scipy, sklearn, statsmodels, pandas, matplotlib глубокое понимание математических методов, используемых в этих библиотеках - оптимизация, решение соду, fft, проверка статистических гипотез, регрессионный анализ и нелинейные модели sklearn.linear_model, ensemble, svm глубокое понимание принципов построения математических моделей глубокое понимание принципов работы с данными в numpy(размещение массива в памяти, копирование, сохранение, чтение с диска)   дополнительным плюсом будет:  знание с++ и стандартных библиотек опыт работы с нейронными сетями (dbn, rbm, rnn, cnn) и библиотекой keras опыт работы с параллельными вычислениями на python опыт работы с api amazon aws    условия:  оформление по тк рф, белая зарплата, развитая корпоративная культура   ",225000
18808844,middle backend разработчик (php),"мы в семью ищем опытного, самостоятельного, инициативного, системно подходящего к реализации проектов back-end разработчика. вот что нам важно: энергичность, незашоренность, ответственность, видение проекта в целом, умение и желание находить и предлагать оптимальные решения по архитектуре проекта, а не просто выполнять задачи, падающие в таск менеджер от руководителя проектов. работа над проектами для metro cash and carry что требуется:  опыт разработки на php от 2 лет, опыт использования фреймворков (laravel, yii, symfony). опыт практического применения ооп, понимание основных паттернов проектирования. знание mysql, анализ запросов, типы движков, репликация, виды индексов, особенности mysql. опыт работы с git. умение быстро разбираться в чудом коде знание стандартнов html, css опыт разработки на языке javascript с использованием jquery и backbone  вообще замечательно:  опыт работы в e-commerce проектах или веб-сервисах для e-commerce. опыт работы в высоко нагруженных проектах. практические знания и опыт в области системного администрирования. владение adobe photoshop на уровне нарезки и оптимизации графики  the family:  уютный офис и небольшой коллектив, без сложной структуры и безумных начальников ) клиенты: международные и российские бренды, такие как: metro cash&amp;caryy, hyundai, юникредитбанк, jti, discovery, связной, газпромбанк, банк уралсиб, unilever, вгтрк и другие. интересные проекты без рутины. неформальное общение и куча совместных активностей помимо работы. зарплата от 90 000 рублей, по результатам собеседования.  если вы что-то не знаете, но умеете программировать, это не повод не писать нам. семья ждет тебя! )",90000
18714047,разработчик по,"обязанности:  поддержка существующих сайтов компании разработка модулей интеграции к системам заказчиков  требования:  опыт разработки коммерческого по на php не менее 3 лет опыт разработки на php 5.3 и выше от 2-х лет понимание принципов работы реляционных субд опыт работы с mysql 5, умение составлять и оптимизировать sql-запросы опыт использования jquery знание php инфраструктуры и устройства веб-приложений желателен опыт работы с популярными фреймворками навыки использования html/css/javascript умение разбираться в чужом коде опыт работы в командной строке ос linux    условия:  интересные задачи; работа в команде профессионалов. ",80000
18734573,frontend-разработчик,"обязанности:  разработка пользовательских графических интерфейсов.  требования:  отличное знание javascript; знание angularjs; умение писать структурированный и легко читаемый код; знание html5, xhtml, css3, less; адаптивная вёрстка и вёрстка под мобильные устройства; паттерны проектирования; ооп; умение работать с системой контроля версий git (или подобной); умение качественно и в срок выполнить поставленную задачу.  будет плюсом:  angularjs 2; typescript; опыт работы в консоли linux; базовые знания http, nginx/apache, php, mysql; знание html5, css3; умение разработки под высокие нагрузки, оптимизация кода и производительности.  взамен мы даем:  всяческую помощь с нашей стороны для повышения профессиональных навыков; рабочий день с 10-11 до 19-20 часов‚ 5 дней в неделю; много интересной и разнообразной работы. ",100000
18713913,senior asp.net developer / team lead,"привет! мы занимаемся разработкой портала мир квартир, ведущего сайта о жилой недвижимости россии. ежемесячно сервисом пользуется более 2 000 000 непонятных существ для выбора квартиры, дома, земельного участка или офиса. так как мы не риэлторское агентство, а серьезный highload проект, то постоянно находимся в поиске талантливых программистов. сейчас нам нужен ведущий разработчик, который будет активно участвовать в разработке архитектуры проекта и координировать группу из нескольких программистов для разработки новых фич. в свою очередь, мы готовы предложить вам интересные задачи и актуальный стек технологий. мы работаем по скраму (с планерками, ретроспективами и прочим, но без фанатизма). предоставляем гибкий график, но, к сожалению, без вариантов удаленной работы. задачи, которые предстоит решать:  программирование фронтенда (asp.net mvc / c# + typescript / react); разработка серверной части проекта, проработка бизнес-логики, работа со слоем доступа к данным (sql server + elasticsearch); курирование группы разработчиков при разработки больших фич (декомпозиция задачи, разработка архитектуры, код ревью); совместное обсуждение архитектуры решений, выработка технологического вектора.  от вас необходимо:  осознание современных подходов к разработке (tdd, bdd, ci, devops и т.д.), понимание важности написания модульных и интеграционных тестов, автоматизации сборки и диплоя проекта и т.д.; уверенное владение языком c# и платформой .net framework 4.x, с опытом коммерческой разработки не менее 3х лет; опыт работы с asp.net mvc; базовые знания html, css, javascript/typescript; опыт работы с microsoft sql server 2012/2014, t-sql.  также приветствуем:  участие в разработке веб-проектов с большой нагрузкой; опыт работы в рамках гибких методологий разработки; опыт работы с elasticsearch.  технологический стек:  бэкенд: .net 4.6.x / .net core 1.0; фронтенд: asp.net mvc 5 / asp.net core 1.0, typescript, react; работа с данными: sql server 2014, elasticsearch; средства разработки и развертывания: vs 2015 + resharper, github, teamcity 9, youtrack 7.  что предлагаем:  актуальный технологический стек и задачи, связанные исключительно с разработкой портала; возможность гибкого графика работы; зарплата по результатам собеседования и повышение оклада по мере профессионального роста; современный офис на 14 этаже с панорамными видами на москву. в офисе есть полноценная кухня и несколько санузлов. на территории бц расположено несколько столовых, отделения банков и прочая сопутствующая инфраструктура. ",160000
